sentences;prediction;Y
крайне не удобный интерфейс пользователя. старая версия была более наглядная и удобная. новой версии уже несколько месяцев, а я никак не привыкну к ней, хотя пользуюсь ежедневно. зачем эти огромные шрифты, с надписями, полностью не помещающимися в свои строки, заканчивающиеся на три точки ... ? я что, слепая бухгалтерша, которая не видит буквы? важнее, что бы на экране помещалось как можно больше информации. сделайте простой дизайн, как в экселе или как было раньше! а еще добивает невозможность сделать cntl+v в поля с суммами. приходится вводить вручную, из-за чего вероятность сделать ошибку сильно возрастает. раньше можно было скопировать сумму (например, из счета) и вставить в поле 'сумма', а теперь какое-то извращение - сумму приходится вставлять в любое свободное поле в браузере (я вставляю в после 'поиск') и потом оттуда ручками переносить сумму, а если еще свернул страницу, то сдвигается курсор и в конец десятков. в общем, сами попробуйте на практике. дальше - с ндс. попробуйте несколько раз изменить ст;1;предложение
последняя версия очень не удобна для пользования....;0;эмоции
много чего хорошего, но и есть недостатки;0;эмоции
при возникновении проблем, очень долго решаются вопросы технической поддержкой;0;эмоции
верните смс-оповещение о поступлениях средств на счет!;0;эмоции
не очень удобно иногда что то искать уходит много времени;0;эмоции
все легко и просто. единственная проблема с смс-паролями - часто приходят неподходящие, либо приходят позже времени ожидания.;0;эмоции
сложно всё очень;0;эмоции
самым большим плюсом является новая система подписания платежных поручений - теперь при подписании большого количества платежных поручений не надо ждать получения всех смс с кодами (обычно код от первой платежки приходит одним из последних), а вводить получаемые коды по мере их поступления в списке платежек. также очень понравилось, что теперь практически невозможно забыть отправить подписанные платежные поручения в банк, так как это делается в меню подписания платежек, а не выведено на отдельную кнопку, как в предыдущей версии.;1;предложение
не всегда есть связь с банком, сложно найти название фирмы, если давно с ней не работал;1;предложение
"1) имеется привязанный сотовый номер для подтверждения новых контрагентов, но нет возможности получать на этот номер информации о поступлении на сайт; 2) нет возможности поиска контрагентов по поступлениям, проведенным оплатам; 3) нет возможности выборки по поступлениям, проведенным оплатам по контрагенту;";1;предложение
система не интуитивная. бизнессчёт не отражает фактический остаток средств. зачисление на карту происходит с большой задержкой. поиск платежей с помощью фильтра не доработан. например по названию организации: найти нужно ооо 'вектор', по критерию '*век*' не ищет. старый дизайн сайта был более интуитивен но эти недочёты все пришли со старого дизайна. в каждом новом окне кнопки одного и того же назначения расположены в разных местах...;1;предложение
старая программа сбербанк бизнес онлайн была очень удобной и понятной программой!!! с новой же программой приходится тратить больше времени. может вернете в работу старую?;0;эмоции
1. очень дорого! 1600 руб без ндс? разрыв очень большой с контурентами 2. экран стал неудобным, либо не помещается, либо слишком мелько.;0;эмоции
в сравнение с конкурентами прилично;0;эмоции
в новой редакции сайта очень трудно искать шаблон созданного поручения и ранее созданные документыю;1;предложение
не видно платежи.совершенно другой сайт,надо его изучать.хорошо это ,может,темкто не работает,а в удовольствие в компьютере только поиграть.а людях не подумали.целый час искала как платежку оплатить.;0;эмоции
в старой версиибыло удобней просматривать выписки.;0;эмоции
плохо работает фильтр поиска платежных поручений по контрагенту. система иногда вообще ничего не находит или находит не все. неудобно, что к 1 контрагенту нельзя завести несколько р/счетов. вместо этого создается новый контрагент, что тоже не дает возможности отфильтровать все платежные поручения по этому контрагенту.;1;предложение
в системе очень запаздывает информация по состоянию счёта, в моём случае никогда вовремя нельзя увидеть остаток овердрафта, цифра всегда некорректная. так же, что касается овердрафта, нет возможности увидеть списание процентов по этому продукту. на данный момент мне было удобнее работать в прежнем дизайне, возможно, это дело привычки.;1;предложение
обновленный бизнес-онлайн крайне неудобен в сравнении со старой версией;0;эмоции
есть некоторые неудобства , но гораздо лучше предыдущей версии.;0;эмоции
при копировании документов и исправлении на другую сумму и назначение платежа система очень часто подвисает и перезагружается, не сохраняя уже исправленные данные.;0;эмоции
ставлю минимальную оценку за юзабилити и убогость нового интерфейса системы.;0;эмоции
в новом дизайне не могу видеть платежи старше одного месяца. неудобно.в старом дизайне не могу просто посмотреть поступления в разрезе кто мне перевел деньги. неудобно.;1;предложение
в целом система удобная, но не доволен частыми внутренними ошибками и ограниченным полем видимости списка документов: 14 документов на экран - это мало.;1;предложение
новая версия системы клиент-банк очень неудобная, неинформативная, непонятно где и что искать, не обновляется остаток по счету онлайн (обновление по остаткам произошло, например, в 7-8 утра, и при поступлении средств на счет, их можно увидеть только если пару раз выйти и войти в кабинет, в то время как в старой версии достаточно на главной странице поставить галочку напротив счета и нажать кнопку обновить состояние). работаю с системой клиент-банк как ип по смс, и как юл по ключу (токену). иногда в день приходится делать по 30-40 платежей, в старом интерфейсе все понятно, наглядно. при оформлении платежа все реквизиты платежки перед глазами. когда кабинет ип перевели на новый интерфейс, для подготовки платежки было затрачено около 40 минут.;1;предложение
удобно, потому, что выглядит как большинство сайтов интернет-магазинов, к которым привыкли. и также не удобно, т.к. не находишь привычных функций при оплате платежей, например, часто пользуемся исполненными ранее платежами контрагентов, меняем данные и отправляем новые платежи копируя старые. где данный функционал пока не нашли... нужно звонить в техподдержку и обычно не хватает времени... поэтому переходим в старый формат и отправляем платежи проверенным способом...;1;предложение
бывают сбои в работе программы.при введении новшеств, трудно с ними разобраться.;0;эмоции
в отд. на пр-те жукова 56 уже довольно давно не работает компьютер для юрлиц с токинами. поэтому если слетел пароль, получив в банке новый, нельзя проверить его. для проверки приходится ехать в офис, а если что-то не получается, то даже с собственным ноутбуком ничего нельзя проверить из-за плохого вай-фая.;0;эмоции
не добрый интерфейс;0;эмоции
нет быстрого взаимодействия с операторами горячей линии, очень долго ждать соединения соператорами при осуществлении звонка на горячую линию. не работает чат.;0;эмоции
нет возможности проводить платежи в выходные;1;эмоции
долго искать предыдущие платежи, чтобы их скопировать.;0;эмоции
в целом всем довольна, но программа работает часто недостаточно быстро, сообщает о сбои сервера, много времени уходит на вход в программу.;0;эмоции
несвоевременная информация о поступлениях;0;эмоции
не удобный функционал, не понятное расположение меню;0;эмоции
не все услуги банка представленыв системе;0;эмоции
не всегда понятны функции;0;эмоции
иногда смс на подтверждение платежа приходится ждать по несколько минут.;0;эмоции
здравствуйте. в случае возникновения трудностей негде найти ответ. горячая линия не всегда знает что делать, а напрямую с банком связаться нет возможности. платежи после 19.00 не отправляются, а переходят на следующий день. раньше это можно было сделать до 22 часов. новый вид программы 'слепой'. нет наглядности.;0;эмоции
неудобно;1;эмоции
по старому интерфейсу: далеко 'спрятаны' контрагенты.по новому интерфейсу:не вижу причин перехода на новай дизайн;0;эмоции
может быть это не ваша вина , а проблемы с интернетом. часто бывает трудно зайти на счет и часто выходит заставка выполняется обработка.;0;эмоции
полностью поменялся интерфейс, сложно сразу перейти, не сразу отвечают в чате;0;эмоции
старый сбо был намного удобней и шустрей.;0;эмоции
система возможно работает хорошо, но у нас плохой интернет, из-за этого бывают трудности.;0;эмоции
прошлый вариант был удобнее и понятнее) новая часто виснет , т е грузится после подписи.постоянный сбой;0;эмоции
низкая информативность, высокий тариф по оплате социальных программ, бессовестный грабеж при переводе денег в системе но в другой регион.;0;эмоции
платежи проводятся медленно,остаток на главной странице меню обновляется 1 раз в день !!!? реальной картины оплаты,зачислений,остатков по счетам нет!!!;0;эмоции
1. при формировании выписки и задаче параметров контрагента (инн) всплывает перечень бюджетных организаций, всвязи с чем приходится делать дополнительные действия, нежели просто вставить или напечатать инн нужного контрагента. 2. часто бывают сбои из-за мобильных интернет провайдеров, из-за чего долго набиваемый документ не сохраняется даже в черновики. 3. иногда достаточно долго идет смс отзыв. 4. не разобрался с е-инвойсинг.;1;предложение
первое это цена обслуживания - дороговторое - система тяжеловата, иногда долго ждешь смс или они не приходят совсем при поступлении денег от разныхклиентов хотелось бы сразу видеть от кого и сколько.;0;эмоции
выписки по контрагентам минимум за 6 месяцев в поиске;0;эмоции
не всегда своевременно отражаются движения денежных средств;0;эмоции
деньги и переводы не отпровляются с разу а только через несколько дней!! я считаю что за те деньги которые платим за обслуживание у вас не должны быть входных, , и деньги свои мы должны видеть сразу а не как вам это удобно! взнос наличных должен делать оператор вашего банка а не в бонкамате дрочиться стосяять !!! бонкаматы работают через разна трамвайной в краснодаре вообще вечно не работают!!! то инкассацию не сняли то выключен, , зато полныйбанк дормоедов!!! такого руководителя как греф надо менять!!! у вас полный бардак !!!!! и это мнение 100 процентов нашего огромного коллектива;0;эмоции
суммы списания денежных средств уходящие на разные счетапапример: за банковское обслуживание, списание основной суммыпо кредиту, списание процентов по кредитувыставляютсяодной суммой. что делает практически невозможной работу в данной системе. приходится в бумажном виде подтверждать операции. неоднократные обращения в банк результатов не принесли.;0;эмоции
старая версия для меня удобнее;0;эмоции
интерфейс намного хуже, чем в старой версии и не понятно как сделать копии платежных поручений. не понятно как управлять мобильными устройствами.;1;предложение
приложение для айфона тупит по отпечатку пальцев . нельзя пользоваться зарплатным проектом через приложение на айфон . и раньше не было оплаты 1 процента за вывод средств , это очень плохо . я и так вам плачу за платежки , за расчетный счёт , за онлайн банк . почему я ещё должен вам платить один процент за вывод своих же средств на свою же дебетовую карту ?;0;эмоции
происходит медленное списания со счета, и нет разбивки по списанию а активных полях;1;предложение
неудобный интерфейс, слишком все мелко и непонятно. нет интуитивного восприятия, как например в нбд-банке, или саровбизнесбанк.;0;эмоции
после изменения интерфейса было затруднительно искать то, что мне нужно;0;эмоции
дизайн хромает;0;эмоции
 было все понятно и привычно...а сейчас не знаешь где что искать;0;эмоции
не удобно печатать и выгружать выписки в 1с, нужно сделать много лишних операций. очень удобно загружать платежки из 1с, подписывать и отправлять в банк.;1;предложение
интерфейс с каждым разом становится более неудобным;0;эмоции
мне не всё понятно.;0;эмоции
изменилась первая страничка при входе в систему, появились дополнительные действия: все платежи, шаблоны, все шаблоны и только потом попадаешь на свои документы,такие неожиданные смены алгоритма работы сбивают, приходится привыкать к новым картинкам;1;предложение
не понятны алгаритмы повторных платежей;1;предложение
после изменения интерфейса работать стало неудобно. чтобы распечатать входящий документ нужно сначала формировать выписку. отдельный документ из выписки распечатать не возможно только если выбрать на печать отдельную страницу из сформированной на печать выписки. это крайне неудобно, так как сначала нужно пролистать все страницы, чтобы найти нужный документ. раньше это делалось одним нажатием правой клавиши мышки на нужном документе. неудобно оформлены перемещения из выписки в документы и обратно. старый интерфейс с меню слева на странице был удобнее, нужно было меньше перемещаться со страницы на страницу, чтобы получить всю интересующую информацию. интерфейс стал менее наглядным чем был, требует больше времени для нахождения нужного пункта меню. некоторые названия пунктов меню выглядят странно и не привычно для бухгалтера. при ограничении счета - видим только один остаток. возможность использовать средства приходится расчитывать самим.;1;предложение
не всегда могу войти с первого раза.;0;эмоции
обновленная (новая) версия бизнес онлайн не удобна в пользовании, в старой версии все разделы были видны слева на рабочем столе, сейчас их надо искать, не отражаются данные по открытым депозитам и много других замечаний в процессе работы. прежняя версия была более удобна в работе, зачем меняете не понятно. от моих коллег, которые пользуются новой версией тоже много нареканий. сотрудники банка не могут подсказать где что искать в обновленной версии, отправляют звонить в техподдержку, а это всегда получается достаточно долго.;0;эмоции
не возможно дозвониться до сотрудников банка,по возникающим вопросам.;0;эмоции
ранее система была проще и понятнее.;0;эмоции
очень не понятный интерфейс в новой редакции старый понятнее и удобнее, на новом все размыто, хотелось юы что бы операцыи работали круглые сутки;0;эмоции
новая версия программы менее удобна, чем прежняя.;0;эмоции
потому что не совсем удобно,поэтому именно на 7 баллов из 10 оцениваю систему.;0;эмоции
не все прозрачно и понятно. не сразу можно найти нужный функционал. копирование и редактирование платежек стало сложнее, посмотреть выписки тоже.;1;предложение
недостаточно времени для полного ознакомления.;0;эмоции
старая версия была удобнее и более понятной;0;эмоции
очень неудобная форма выписок банка.при распечатке информация отражается не вся,как будто съедается.;1;предложение
не отражаются сразу все операции;0;эмоции
сложно было привыкнуть к новому дизайну. но по сравнению с системой других банков, система сбербанка бизнес онлайн гораздо удобнее. некоторые моменты можно усовершенствовать, но в любом случае система стала намного лучше.;0;эмоции
старый бизнес онлайн мне больше нравится, с новым не могу работать. постоянно перехожу на старый, новый не удобен не возможно обновлять счет нет место куда ставить галочку для обновления вообщем ничего хорошего;0;эмоции
попросила исправить в платежке неправильно указанный кбк, ответа нет несколько дней! причем письмо отправила буквально через минут 30 после создания платежки.;0;эмоции
неудобный интерфейс, скорость работы программы стала ниже. не увидел ни одного положительного изменения !!!;0;эмоции
недавно поменялся внешний вид окон в программе, мне надо работать, а я занимаюсь тем что ищу привычную кнопку справа, а она оказывается теперь слева. зачем это делается не понятно, потому что весь функционал которым я пользовался вобщем-то то остался прежним.;0;эмоции
постоянная блокировка карт и ограничение доступа в онлайн по ст фз 115, честно уже достало предоставлять собирать документы ,доказывающее свою деятельность и заработка!!!!;0;эмоции
бывают сбои;0;эмоции
старая система была лучше и удобнее. не распечатывает , когда нажимаешь развернутую печать. печатает только первый лист.;1;предложение
неудобно, чтоменяется интерфейс, дорогое обслуживание,частая смена тарифа комиссии.;0;эмоции
полностью устраивала старая система сбербанк бизнес онлайн!!! в новой неудобно формировать платежные поручения,нет возможности распечатать выписки за день годичной давности, а с налоговыми органами это равноценно смерти. формирование зарплатного реестра в первый раз вызвало трудности, пришлось вручную вводить все данные по работникам. я уже оставляла свой отзыв, реакции не было. новая версия меня, как пользователя, полностью не устраивает!!!;1;предложение
непонятно все стало;1;эмоции
новый интерфейс системы интуитивно не понятен, многие функции скрыты, неудобный доступ;0;эмоции
1) невозможно удалить созданное платежное поручение 2) невозможно отозвать подпись 3) неудобный доступ к дополнительным сервисам (депозиты)это пока то, с чем столкнулись;1;предложение
неудобно!! и ничего не понятно;0;эмоции
изменение интерфейса, ограниченный функционал, не всегда понятна последовательность действий, избыточные действия.;0;эмоции
старый интерфейс был удобнее;0;эмоции
не все очевидно, если нет опыта работы с аналогичными продуктами;0;эмоции
слишком много ограничений, связанных с безопасностью: использование токена, блокировка программы при смене сим-карты. необходимость приходить в отделение, которое работает только до 16:00!!!;0;эмоции
для того, чтобы перейти в другой раздел меню, необходимо закрыть тот, в котором работаешь в настоящее время.хотелось бы, чтобы можно было работать в нескольких разделах (журналах) одновременно без закрытия предыдущего.;1;предложение
привыкаешь к одному оформлению, вы его меняете;0;эмоции
неудобно медленно .постоянно зависает, много времени уходит чтобы найти нужную информацию;0;эмоции
я еще полностью неразобралсяссистемойпо этому и8;0;эмоции
постоянный сбой в получении пароля, зачисление денег на бизнес карту занимает слишком длительное время;0;эмоции
не был получен ответ при обращении;0;эмоции
при верном введении пароля, блокирует учетную запись;0;эмоции
только привыкнешь, освоишь систему происходят какие то изменения.очень долго соединяют с техподдержкой.;0;эмоции
задержки с смс ограниченный период выписки новый интерфейс не совсем логичен нельзя сделать простой поиск платежек по названию контрагента;1;предложение
возникают некоторые вопросы по поводу копирования платежных поручений. в старой системе все было более просто.;1;предложение
нет возможности сформировать выписку за произвольный период.;1;предложение
новый интерфейс ужасен! неинформативен, неструктурирован, интуитивно непонятен. всё разбросано хаотично, слишком награмождено излишними веб-примочками. с точки зрения веб-дизайна он конечно силён. но, с точки зрения пользования им, неудобен. классический случай, когда разработка велась без оглядки на простого пользователя.;0;эмоции
при поиски списания, или поступления денежных средств,автоматически выдает от меньшой к сумме к большой, а даты в разброс, а иногда нужно бывает по датам и по порядку.;1;предложение
не удобно находить, где находятся разные документы. меню не информативное. в разных местах экрана нужно смотреть закладки и кнопки подтверждения.;0;эмоции
неудобно. не информативно. навязчиво. смс уведомления так и не ввели, хотя полгода собирали мнения и это предложение всегда было в топе.;0;эмоции
прежняя система была более логична и понятна.;0;эмоции
есть субъективные замечания к интерфейсу.;0;эмоции
действующая система восстановления поролей доступа не эффективна. (отсутствует воможность восстановить доступ по паролям в смс);0;эмоции
изменения в оформлении и прицепе работы на своей странице, были простошоком . ни каких предупреждений, разъяснений , как работать в новом формате. консультациипо телефону, ни чего не дали , мы просто общались на разных языках. в результате было по трачено много времени на расшифровку. алгоритма действий. сейчас вроде бы маленько освоился.;0;эмоции
в обновленной версии не все понятно,;0;эмоции
да у вас вся контора из говна сделана. желаю вам сдохнуть как можно быстрее. мошенники.;0;эмоции
короткое время сесси;0;эмоции
бывают задержки при отправке платежей;0;эмоции
я была полностью довольна старым интерфейсом, в новом интерфейсе не удобно работать с выписками (формировать, выгружать и печатать) также очень хотелось чтобы было смс оповещение по движению счета.;0;эмоции
очень неудобный и запутанный новый интерфейс;0;эмоции
не нравится новая версия, верните старую.;0;эмоции
не получилось оплатить налог на землю в ифнс;0;эмоции
старая версия мне нравилась больше. может просто привык. в новой трудно найти нужную кнопку;0;эмоции
приходят уведомления по вэд, хотя у нас нет сделок в валюте. приходят рекламные рассылки, а уведомления о истекающих сроках полномочий не приходят.;1;предложение
новая система не совершенна, старая была проще в объслужеванее.;0;эмоции
в новой версии сбербанк бизнес онлайн мне неудобно то, что я не вижу платежное поручение в таком же виде, как печатная форма. неудобно ориентироваться по полям, особенно для налоговых платежей.;1;предложение
постоянные 'улучшения' выражены в постоянных изменениях интерфейса, что меня категорически не устраивает.;0;эмоции
в целом удобно работать, но ряд моментов ,на мой взгляд, не продуман: 1. невозможно увидеть время отправки и время проведения платежного документа 2. остаток по счету на главной странице бывает не актуален ( иногда не учитывает недавние по времени операции) 3.в мобильном приложении есть функция об оповещении получателяо платеже в его адрес, онаудобна, но не работает для отправки на почту ( не приходит на отправленный корректный адрес, проверила неоднократно)и в вайбер (отправляется не документ , а ссылка, которую невозможно просмотреть и вывести на печать);1;предложение
система не удобна, поиск по наименованию не работает, только по инн и номеру счета, достаточно плохо расположено верхнее меню и оно не информационно! прежняя редакция сбербанк бизнес была на 10! вся информация была расположена на экране в доступном и понятном виде.;1;предложение
система стала хуже, менее наглядной;0;эмоции
не понравилось последнее обновление;0;эмоции
вот так я думаю;1;эмоции
1. не работает система в воскресные дни. 2.больой процент при эквайринге.;0;эмоции
очень плохая защитаот взломов!!!!!!!!!!!!!;0;эмоции
1. долго проходят платежи (по сравнению например с альфабанком, там мнгновенно) 2. нет уведомления об оплате на электронную почту - элементарная функция (в альфабанкетакже реализована) 3. поиск по контрагенту в списке платежей должен быть регистронезависимым и по частям названия, у вас практически пользоваться им нельзя, например контрагент ооо 'ресурс-платеж' невозможно найти по поиску используя 'ресурс', не говоря уже о 'ресурс' 4. элементарно заблокировать счет, зная только логин - 3 раза ввод неправильного пароля приводит к блокировке, то есть зная логин злрумышленник может заблокировать платеж ну и много других мелких замечаний;1;предложение
очень часто зависают платежи, долгое время висят загруженными в абс, иногда время по проведению платежа имеет очень большое значение, особенно когда отгрузка от поставщика удаленно идет только по платежке со статусом 'проведено';0;эмоции
очень долго проводили подключение и выдачу сертификатов. оформление продолжалось почти 18 месяцев;0;эмоции
новый формат отвратительный по старому было очень удобно.;0;эмоции
не удобный в работе;0;эмоции
трудно привыкать к новому. приходится осваивать.;0;эмоции
не удобная;0;эмоции
поиск по контрагентам то ли нет его вообще, то ли сложен для моего понимания;0;эмоции
надо больше попыток ввода пароля. три раза- мало;1;предложение
долго проходит платёж;0;эмоции
есть не удобства;0;эмоции
в принципе данная версия программы неплохая, но у вас не доработаны отчеты вформате xls, потому что xls это электронный таблицы и предназначены они для работы с данными. те таблицы, которые вы даете в отчетах предназначены для красивого вывода на печать, но недля работы с числами. и еще очень желательно в отчетах в ячейках всю информацию сделать одной строкой, а так же убрать символ с кодом 160 (разделитель разрядов);1;предложение
местами не удобный интерфейс и недостаточная скорость работы.;0;эмоции
"- долгий вход в систему ('думает' на каждом шаге);- периодические сбои, особенно в конце месяца и после длительных выходных,- частая поломка флешек, в том числе только выданных банком; - при открытии через систему explorer не выдает оповещения о скором ок";1;nan
неудобно и долго подтверждать каждое платежное поручение отдельной смс;0;эмоции
есть функции. которые приходится редактировать в ручном режиме...;0;эмоции
вопросы, решаемые с одним сотрудником в кол.центре невозможно решить при прерывании, связь только в одностороннем порядке и приходиться тратить много времени на объяснение ситуации другому сотруднику.;0;эмоции
постоянные сбои;0;эмоции
громоздкий интерфейс, много не нужной информации постоянно на экране, нужное сразу не видно и мелко. не удобно получать выписки. все не удобно. зачем при занесении нового контрагента подписывать его в справочнике при помощи пароля??? трудно найти в справочнике наименование банка по бик - цифры скачут и не пропечатываются.не нравится все.;0;эмоции
в системе сбербанк бизнес онлайн работаем ужетретий год, мы сами видим поступление денежных средств и их перечисление. и если указала ошибочно в платежном поручении, то вижу,либо отказ. одним не довольно, формирует платежные поручения(выписки) долго. зарплатный-работает быстро.предпринимателю моментально поступают деньги.;0;эмоции
из плюсов работы системы: - оперативность зачисления - простота работы в самой системе из минусов: - работа тех службы оставляет желать лучшего. ни на один вопрос который был им задан ответа так и не поступило. за ними приходилось ездить в обслуживающий банк. - реестры набиваются очень долго, потому что система постоянно зависает.;0;эмоции
когда входишьдолго ждешь открытие системы. часто набираешь пароль, а программа 'висит' и приходится набирать несколько раз, чтобы войти. очень долго исполняется запрос на выписку.;0;эмоции
новая версия не устраивает: нельзя сделать выписку больше чем месяц, не могу сразу сохранить её в нужный файл в коп., не могу сохранить нужные рко сразу в нужный файл и т.д.;1;предложение
очень неудобно распечатывать документы, документы приходиться подписывать и отправлять по одному (хотелось бы пакетом),при выгрузке с 1с хотелось бы сначала видеть саму выписку, а потом уже ее выгрузить в файл.;1;предложение
для достижения результата приходится совершать больше телодвижений, по сравнению со старым интерфейсом. всё таки это инструмент, он должен быть удобным, а не требовать периодического освоения и привыкания... в прошлой версии всё было уже знакомо, интуитивно понятно, меньше операций приходилось совершать.;0;эмоции
добрый день. если мое мнение что-то изменит... я привыкла видеть перед собой платежное поручение т.е. таблицу. мне так проще заполнять. я сразу вижу ошибки и быстрее заполняю новый платеж. сейчас неудобно.распечатывать выписки банка тоже быстрее было раньше.;1;предложение
старая версия слишком перегруженная, новая лучше, но непонятен пока функционал;0;эмоции
увеличилось время обработки платежных поручений.;1;эмоции
